City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name,Current Description
3,Kavieng,PG,81.32,light rain,-2.5744,150.7967,Nusa Island Retreat,light rain
4,Nishihara,JP,82.45,scattered clouds,26.1842,127.7558,Minshuku Agaihama,scattered clouds
6,Bethel,US,87.89,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury,broken clouds
8,Buala,SB,79.77,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge,overcast clouds
13,Thanh Hoa,VN,77.5,heavy intensity rain,19.8,105.7667,KHÁCH SẠN NGỌC LY 8,heavy intensity rain
19,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn,broken clouds
24,Saint Anthony,US,86.31,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul,clear sky
25,Hilo,US,86.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel,broken clouds
26,Butaritari,KI,81.9,light rain,3.0707,172.7902,Isles Sunset Lodge,light rain
27,Jamestown,US,78.53,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown,clear sky
28,Albany,US,83.05,broken clouds,42.6001,-73.9662,,broken clouds
30,Bac Lieu,VN,78.24,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu,overcast clouds
33,Lorengau,PG,80.42,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel,overcast clouds
38,Bengkulu,ID,76.48,light rain,-3.8004,102.2655,Grage Hotel Bengkulu,light rain
41,Atuona,PF,77.81,clear sky,-9.8,-139.0333,Villa Enata,clear sky
44,Faanui,PF,77.83,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa,overcast clouds
46,Mana,GF,79.03,light rain,5.6592,-53.7767,LE SAMANA,light rain
47,Thinadhoo,MV,82.71,broken clouds,0.5333,72.9333,,broken clouds
48,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Pousada Camboinha,clear sky
54,Matara,LK,75.45,broken clouds,5.9485,80.5353,Amaloh Boutique Resort,broken clouds
58,Rawlins,US,87.69,scattered clouds,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel",scattered clouds
60,Victoria,HK,85.32,broken clouds,22.2855,114.1577,Mini Central,broken clouds
61,Manokwari,ID,77.52,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari,overcast clouds
62,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort,few clouds
65,Coahuayana,MX,89.96,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos,scattered clouds
67,Kapaa,US,82.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort,broken clouds
68,Bandarbeyla,SO,78.1,overcast clouds,9.4942,50.8122,JABIR HOTEL,overcast clouds
69,Touros,BR,77.23,few clouds,-5.1989,-35.4608,INN NEW HORIZON,few clouds
77,Upata,VE,78.67,broken clouds,8.0086,-62.3989,Posada Villa Nela,broken clouds
81,Tripoli,LY,78.91,clear sky,32.8752,13.1875,Al Waddan Hotel,clear sky
82,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2,scattered clouds
84,Gwadar,PK,84.2,overcast clouds,25.1216,62.3254,Sadaf Resort,overcast clouds
85,Antibes,FR,80.98,clear sky,43.5624,7.1278,"ROYAL ANTIBES Luxury Hotel, Residence, Beach & Spa",clear sky
94,Wanning,CN,81.19,overcast clouds,18.8003,110.3967,Paradise Hotel,overcast clouds
96,Cascais,PT,79.95,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais,clear sky
98,Santa Cruz De Tenerife,ES,79.59,broken clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz,broken clouds
100,Broome,US,78.33,overcast clouds,42.2506,-75.833,Chenango Valley State Park,overcast clouds
102,Itoman,JP,83.17,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa,scattered clouds
105,Labuhan,ID,76.37,light rain,-6.8844,112.2051,DoubleFAG,light rain
106,Hithadhoo,MV,83.25,overcast clouds,-0.6,73.0833,Scoop Guest House,overcast clouds
109,Qui Nhon,VN,78.94,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel,overcast clouds
110,Kudahuvadhoo,MV,83.03,few clouds,2.6708,72.8944,Niyama Private Islands Maldives,few clouds
112,Siguiri,GN,77.83,moderate rain,11.6667,-9.5,,moderate rain
113,Sao Paulo De Olivenca,BR,78.93,overcast clouds,-3.3783,-68.8725,,overcast clouds
114,Westport,US,89.15,few clouds,41.1415,-73.3579,The Westport Inn,few clouds
115,Nicoya,CR,82.2,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño,broken clouds
116,Hambantota,LK,79.02,broken clouds,6.1241,81.1185,Bungalow 63,broken clouds
120,Kallithea,GR,81.46,clear sky,37.95,23.7,Athens Atrium Hotel,clear sky
124,Kikwit,CD,77.32,few clouds,-5.041,18.8162,HOTEL PLACE YALABA,few clouds
125,Santo Antonio Do Ica,BR,79.21,scattered clouds,-3.1022,-67.9397,HOTEL AMAZON WAY,scattered clouds
132,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel,broken clouds
137,Agrado,CO,82.04,overcast clouds,2.2573,-75.7714,Edificio San Diego,overcast clouds
143,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel,overcast clouds
144,Mozarlandia,BR,84.15,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica,broken clouds
