City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Vardo,NO,70.3705,31.1107,53.58,94,100,2.3,moderate rain
1,Inhambane,MZ,-23.865,35.3833,66.76,67,0,6.76,clear sky
2,Mataura,NZ,-46.1927,168.8643,37.47,99,100,2.8,light rain
3,Kavieng,PG,-2.5744,150.7967,81.32,79,100,14.76,light rain
4,Nishihara,JP,26.1842,127.7558,82.45,91,40,9.22,scattered clouds
5,Cherskiy,RU,68.75,161.3,47.52,55,100,1.03,overcast clouds
6,Bethel,US,41.3712,-73.414,87.89,55,75,3.44,broken clouds
7,Dikson,RU,73.5069,80.5464,41.13,79,18,10.45,few clouds
8,Buala,SB,-8.145,159.5921,79.77,76,100,3.83,overcast clouds
9,Leh,IN,34.1667,77.5833,58.14,67,99,6.29,overcast clouds
10,Tarko-Sale,RU,64.9225,77.785,54.14,63,17,6.44,few clouds
11,Grindavik,IS,63.8424,-22.4338,51.75,76,75,6.91,broken clouds
12,Floro,NO,61.5996,5.0328,53.67,71,40,9.22,scattered clouds
13,Thanh Hoa,VN,19.8,105.7667,77.5,92,100,2.95,heavy intensity rain
14,Bulnes,CL,-36.7423,-72.2985,45.36,95,100,6.82,light rain
15,East London,ZA,-33.0153,27.9116,59.86,69,3,12.8,clear sky
16,Solnechnyy,RU,50.7214,136.6319,65.93,97,78,4.52,broken clouds
17,Kodiak,US,57.79,-152.4072,58.51,77,100,3.44,overcast clouds
18,Hobart,AU,-42.8794,147.3294,44.06,95,75,4.61,broken clouds
19,Avarua,CK,-21.2078,-159.775,75.25,64,75,12.66,broken clouds
20,Qaanaaq,GL,77.484,-69.3632,45.9,81,25,7.34,scattered clouds
21,Cape Town,ZA,-33.9258,18.4232,59.38,86,10,4.61,mist
22,Haines Junction,CA,60.7522,-137.5108,51.75,71,97,3.44,overcast clouds
23,Port Alfred,ZA,-33.5906,26.891,57.52,82,18,13.98,few clouds
24,Saint Anthony,US,45.0205,-93.218,86.31,57,0,11.5,clear sky
25,Hilo,US,19.7297,-155.09,86.29,76,75,6.91,broken clouds
26,Butaritari,KI,3.0707,172.7902,81.9,80,36,17.56,light rain
27,Jamestown,US,42.097,-79.2353,78.53,48,0,6.91,clear sky
28,Albany,US,42.6001,-73.9662,83.05,47,69,9.33,broken clouds
29,Punta Arenas,CL,-53.15,-70.9167,35.62,93,75,2.3,broken clouds
30,Bac Lieu,VN,9.285,105.7244,78.24,86,100,11.43,overcast clouds
31,Yaan,NG,7.3833,8.5667,72.79,93,19,4.79,light rain
32,Ust-Tsilma,RU,65.441,52.1498,67.42,81,100,3.18,overcast clouds
33,Lorengau,PG,-2.0226,147.2712,80.42,78,100,4.12,overcast clouds
34,Bonavista,CA,48.6499,-53.1147,55.15,75,90,12.19,overcast clouds
35,Ushuaia,AR,-54.8,-68.3,33.42,80,0,2.3,clear sky
36,Richards Bay,ZA,-28.783,32.0377,64.08,72,15,6.4,few clouds
37,Rikitea,PF,-23.1203,-134.9692,67.77,77,100,8.39,light rain
38,Bengkulu,ID,-3.8004,102.2655,76.48,89,100,3.98,light rain
39,Busselton,AU,-33.65,115.3333,59.05,76,77,13.8,broken clouds
40,Paamiut,GL,61.994,-49.6678,42.35,96,100,3.71,light rain
41,Atuona,PF,-9.8,-139.0333,77.81,68,9,15.19,clear sky
42,Geraldton,AU,-28.7667,114.6,54.01,87,40,5.75,scattered clouds
43,Hermanus,ZA,-34.4187,19.2345,50.81,83,12,4.0,few clouds
44,Faanui,PF,-16.4833,-151.75,77.83,63,100,23.58,overcast clouds
45,Mar Del Plata,AR,-38.0023,-57.5575,54.09,96,100,13.0,drizzle
46,Mana,GF,5.6592,-53.7767,79.03,89,59,6.44,light rain
47,Thinadhoo,MV,0.5333,72.9333,82.71,76,73,12.15,broken clouds
48,Cabedelo,BR,-6.9811,-34.8339,79.47,79,7,14.85,clear sky
49,Luderitz,NA,-26.6481,15.1594,64.74,41,0,8.21,clear sky
50,Tarbagatay,RU,51.4803,107.3602,58.53,92,100,2.98,overcast clouds
51,Tiksi,RU,71.6872,128.8694,52.5,81,100,8.95,overcast clouds
52,Sitka,US,57.0531,-135.33,62.49,55,75,12.66,broken clouds
53,Port Lincoln,AU,-34.7333,135.8667,49.24,66,58,12.75,broken clouds
54,Matara,LK,5.9485,80.5353,75.45,93,71,9.28,broken clouds
55,Tombouctou,ML,20.0,-3.0,100.47,16,9,10.29,clear sky
56,Maltahohe,NA,-24.8333,16.9833,55.81,26,0,9.84,clear sky
57,Zabid,YE,14.1951,43.3152,90.03,52,100,10.04,overcast clouds
58,Rawlins,US,41.7911,-107.2387,87.69,20,40,4.61,scattered clouds
59,Maragogi,BR,-9.0122,-35.2225,74.44,82,6,8.46,clear sky
60,Victoria,HK,22.2855,114.1577,85.32,83,84,5.01,broken clouds
61,Manokwari,ID,-0.8667,134.0833,77.52,82,90,3.6,overcast clouds
62,Vaini,TO,-21.2,-175.2,77.16,94,20,6.91,few clouds
63,Saint-Philippe,RE,-21.3585,55.7679,66.22,82,76,9.17,light rain
64,Dire Dawa,ET,9.5931,41.8661,73.49,65,100,10.94,light rain
65,Coahuayana,MX,18.7333,-103.6833,89.96,63,47,7.52,scattered clouds
66,Bambous Virieux,MU,-20.3428,57.7575,70.21,88,75,11.5,broken clouds
67,Kapaa,US,22.0752,-159.319,82.72,77,75,16.11,broken clouds
68,Bandarbeyla,SO,9.4942,50.8122,78.1,81,99,31.63,overcast clouds
69,Touros,BR,-5.1989,-35.4608,77.23,77,14,15.08,few clouds
70,Dargaville,NZ,-35.9333,173.8833,54.72,82,100,6.76,overcast clouds
71,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,69,20,17.27,few clouds
72,Tilichiki,RU,60.4667,166.1,62.42,70,15,15.66,few clouds
73,Xai-Xai,MZ,-25.0519,33.6442,64.42,79,0,4.76,clear sky
74,Pevek,RU,69.7008,170.3133,34.09,84,5,12.86,clear sky
75,Saravan,AM,39.7196,45.6483,61.63,64,0,9.44,clear sky
76,Clyde River,CA,70.4692,-68.5914,48.43,71,0,6.91,clear sky
77,Upata,VE,8.0086,-62.3989,78.67,81,53,4.23,broken clouds
78,Teruel,ES,40.6667,-0.6667,71.24,32,0,4.41,clear sky
79,Nikolskoye,RU,59.7035,30.7861,59.81,96,99,3.69,overcast clouds
80,Majenang,ID,-7.2975,108.7642,74.71,99,99,1.68,overcast clouds
81,Tripoli,LY,32.8752,13.1875,78.91,65,0,13.67,clear sky
82,Denpasar,ID,-8.65,115.2167,78.46,88,40,11.5,scattered clouds
83,Barentu,ER,15.1139,37.5928,71.31,80,100,7.47,overcast clouds
84,Gwadar,PK,25.1216,62.3254,84.2,84,97,6.4,overcast clouds
85,Antibes,FR,43.5624,7.1278,80.98,69,0,4.61,clear sky
86,Bilibino,RU,68.0546,166.4372,52.97,52,16,2.64,few clouds
87,Opuwo,NA,-18.0607,13.84,61.02,32,0,8.37,clear sky
88,Ngorongoro,TZ,-3.2397,35.4875,48.07,93,12,5.99,few clouds
89,Tuatapere,NZ,-46.1333,167.6833,41.18,95,100,5.79,light rain
90,Stepnyak,KZ,52.8339,70.7803,66.74,68,3,4.81,clear sky
91,Ovalle,CL,-30.5983,-71.2003,49.69,94,100,3.18,moderate rain
92,Navolato,MX,24.7672,-107.6944,97.12,58,61,15.17,broken clouds
93,Thompson,CA,55.7435,-97.8558,71.76,83,75,2.3,broken clouds
94,Wanning,CN,18.8003,110.3967,81.19,90,99,9.46,overcast clouds
95,Husavik,IS,66.0449,-17.3389,48.67,79,27,3.83,scattered clouds
96,Cascais,PT,38.6979,-9.4215,79.95,56,0,8.05,clear sky
97,Viedma,AR,-40.8135,-62.9967,48.24,83,100,17.65,moderate rain
98,Santa Cruz De Tenerife,ES,28.4682,-16.2546,79.59,88,75,21.85,broken clouds
99,Yellowknife,CA,62.456,-114.3525,68.56,48,75,13.8,light intensity shower rain
100,Broome,US,42.2506,-75.833,78.33,55,100,9.22,overcast clouds
101,Chuy,UY,-33.6971,-53.4616,55.63,97,72,10.42,moderate rain
102,Itoman,JP,26.1247,127.6694,83.17,92,40,5.75,scattered clouds
103,Emerald,AU,-23.5333,148.1667,40.33,71,0,10.74,clear sky
104,Evensk,RU,61.95,159.2333,70.45,51,19,11.65,few clouds
105,Labuhan,ID,-6.8844,112.2051,76.37,90,56,7.63,light rain
106,Hithadhoo,MV,-0.6,73.0833,83.25,75,100,14.05,overcast clouds
107,Iqaluit,CA,63.7506,-68.5145,49.73,76,75,8.05,broken clouds
108,Seoul,KR,37.5683,126.9778,72.79,97,40,3.44,scattered clouds
109,Qui Nhon,VN,13.7667,109.2333,78.94,86,100,5.21,overcast clouds
110,Kudahuvadhoo,MV,2.6708,72.8944,83.03,75,23,12.75,few clouds
111,Namibe,AO,-15.1961,12.1522,65.79,84,84,1.77,broken clouds
112,Siguiri,GN,11.6667,-9.5,77.83,81,91,6.04,moderate rain
113,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,78.93,89,89,1.97,overcast clouds
114,Westport,US,41.1415,-73.3579,89.15,60,20,8.05,few clouds
115,Nicoya,CR,10.1483,-85.452,82.2,79,70,3.78,broken clouds
116,Hambantota,LK,6.1241,81.1185,79.02,78,76,17.45,broken clouds
117,Kruisfontein,ZA,-34.0033,24.7314,52.59,89,41,5.86,scattered clouds
118,Mulege,MX,26.8833,-111.9833,95.2,46,6,13.35,clear sky
119,Castro,BR,-24.7911,-50.0119,61.97,72,51,3.94,broken clouds
120,Kallithea,GR,37.95,23.7,81.46,40,0,12.66,clear sky
121,Bluff,NZ,-46.6,168.3333,37.8,83,100,15.9,light rain
122,Ucluelet,CA,48.9329,-125.5528,64.09,79,87,1.01,overcast clouds
123,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,83,0,13.8,clear sky
124,Kikwit,CD,-5.041,18.8162,77.32,31,20,2.04,few clouds
125,Santo Antonio Do Ica,BR,-3.1022,-67.9397,79.21,92,42,1.57,scattered clouds
126,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,87,100,20.71,overcast clouds
127,Bredasdorp,ZA,-34.5322,20.0403,51.64,84,33,2.8,scattered clouds
128,Foz,ES,43.5692,-7.2544,69.75,94,100,2.64,light rain
129,Mount Gambier,AU,-37.8333,140.7667,43.95,98,74,6.24,broken clouds
130,Mutoko,ZW,-17.397,32.2268,56.55,47,57,3.69,broken clouds
131,Mahebourg,MU,-20.4081,57.7,70.25,88,75,11.5,broken clouds
132,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,69,8.01,broken clouds
133,Bell Ville,AR,-32.6259,-62.6887,64.8,53,0,6.17,clear sky
134,Darhan,MN,49.4867,105.9228,55.08,92,50,2.24,scattered clouds
135,Aklavik,CA,68.2191,-135.0107,44.6,70,100,13.8,light rain
136,Saint George,US,37.1041,-113.5841,104.63,19,0,6.91,clear sky
137,Agrado,CO,2.2573,-75.7714,82.04,55,96,2.33,overcast clouds
138,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,88,0,16.11,clear sky
139,New Norfolk,AU,-42.7826,147.0587,43.72,90,90,2.06,overcast clouds
140,Airai,TL,-8.9266,125.4092,53.85,88,22,3.96,few clouds
141,San Jeronimo,PE,-11.9472,-75.2829,65.68,33,19,3.02,few clouds
142,Mayo,US,38.8876,-76.5119,91.94,50,0,9.22,clear sky
143,Naze,JP,28.3667,129.4833,79.72,90,94,9.33,overcast clouds
144,Mozarlandia,BR,-14.7447,-50.5706,84.15,29,66,3.49,broken clouds
145,Upernavik,GL,72.7868,-56.1549,39.94,88,14,13.91,few clouds
146,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,13.8,scattered clouds
147,Piedra Gorda,PR,18.4341,-66.8877,83.52,77,61,8.01,broken clouds
148,Xinzhi,CN,36.4989,111.7047,77.18,61,82,4.09,broken clouds
149,Alice Springs,AU,-23.7,133.8833,27.95,80,0,2.3,clear sky
150,Port Elizabeth,ZA,-33.918,25.5701,57.49,80,0,13.8,clear sky
151,Neyshabur,IR,36.2133,58.7958,77.13,22,0,4.56,clear sky
152,Hurghada,EG,27.2574,33.8129,86.04,32,0,13.8,clear sky
153,Kaitangata,NZ,-46.2817,169.8464,39.13,96,100,7.25,overcast clouds
154,Tabou,CI,4.423,-7.3528,75.61,80,91,8.66,overcast clouds
155,Manuk Mangkaw,PH,4.8,119.85,80.56,80,100,14.83,overcast clouds
156,Isangel,VU,-19.55,169.2667,75.31,94,100,1.14,overcast clouds
157,Alikalia,SL,9.1667,-11.4,70.39,99,97,3.67,moderate rain
158,Rudbar,AF,30.15,62.6,86.94,15,0,4.34,clear sky
159,Cabo San Lucas,MX,22.8909,-109.9124,92.61,64,14,9.19,few clouds
160,Sijunjung,ID,-0.6876,100.9537,72.25,99,100,3.27,overcast clouds
161,Oranjemund,NA,-28.55,16.4333,56.43,78,0,9.66,clear sky
162,Letka,RU,59.6011,49.4232,61.16,98,87,4.54,overcast clouds
163,Saint-Georges,GD,12.0564,-61.7485,85.68,70,40,11.5,scattered clouds
164,Srednekolymsk,RU,67.45,153.6833,55.81,37,62,10.6,broken clouds
165,Lavrentiya,RU,65.5833,-171.0,49.66,71,100,10.29,overcast clouds
166,Hamilton,US,39.1834,-84.5333,86.94,45,40,10.36,scattered clouds
167,Soubre,CI,5.7856,-6.6083,71.76,98,100,4.38,overcast clouds
168,Marsh Harbour,BS,26.5412,-77.0636,83.64,62,7,11.9,clear sky
169,Baherden,TM,38.4362,57.4316,85.66,19,0,1.86,clear sky
170,Ewa Beach,US,21.3156,-158.0072,80.55,79,40,10.36,scattered clouds
171,Leningradskiy,RU,69.3833,178.4167,36.59,74,8,10.56,clear sky
172,Tazovskiy,RU,67.4667,78.7,49.15,72,11,5.64,few clouds
173,Nsukka,NG,6.8561,7.3927,69.08,97,85,3.94,light rain
174,Faya,SA,18.3851,42.4509,69.91,52,99,4.7,overcast clouds
175,Beruwala,LK,6.4788,79.9828,77.31,88,91,7.7,overcast clouds
176,Carnarvon,AU,-24.8667,113.6333,66.54,82,37,11.25,scattered clouds
177,Hamburg,DE,53.55,10.0,59.29,73,0,10.36,clear sky
178,Kozhva,RU,65.1073,57.0459,66.96,88,100,4.72,light rain
179,Khatanga,RU,71.9667,102.5,44.1,86,100,2.98,overcast clouds
180,Eregli,TR,37.5133,34.0467,68.7,40,0,5.46,clear sky
181,Yerbogachen,RU,61.2767,108.0108,51.6,97,100,3.13,overcast clouds
182,Concordia,AR,-31.393,-58.0209,65.79,90,100,1.99,overcast clouds
183,Samarai,PG,-10.6167,150.6667,76.26,71,100,20.22,overcast clouds
184,Torbay,CA,47.6666,-52.7314,63.88,76,40,13.8,scattered clouds
185,High Prairie,CA,55.4334,-116.4858,71.1,44,90,10.85,overcast clouds
186,Caapucu,PY,-26.2167,-57.2,76.26,60,65,7.31,broken clouds
187,Limulunga,ZM,-15.0969,23.1376,57.9,47,19,4.92,few clouds
188,Lebu,CL,-37.6167,-73.65,44.46,83,100,7.7,moderate rain
189,Botwood,CA,49.1499,-55.3482,76.89,41,64,2.24,broken clouds
190,Poronaysk,RU,49.2167,143.1167,56.07,92,99,3.87,overcast clouds
191,Shache,CN,38.4167,77.2406,72.52,33,100,5.61,overcast clouds
192,Klaksvik,FO,62.2266,-6.589,50.92,82,85,12.39,overcast clouds
193,Havoysund,NO,70.9963,24.6622,53.83,99,100,10.96,light rain
194,Rio Grande,BR,-32.035,-52.0986,57.31,98,100,13.49,moderate rain
195,Tasiilaq,GL,65.6145,-37.6368,50.16,70,100,6.04,overcast clouds
196,Barrow,US,71.2906,-156.7887,33.82,80,100,11.5,overcast clouds
